HMM model,Species name,Order name,Family name,Accession number,Oskar presence,Protein annotations,GeneBank annotations,GFF3 annotations,Genomic fasta file,RNA fasta file,TO DO
,Heliconius cydno cordula,Lepidoptera,Nymphalidae,GCA_001485865.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius melpomene amaryllis,Lepidoptera,Nymphalidae,GCA_001486145.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius ethilla aerotome,Lepidoptera,Nymphalidae,GCA_001485785.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius ismenius,Lepidoptera,Nymphalidae,GCA_001485965.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius timareta timareta,Lepidoptera,Nymphalidae,GCA_001486465.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius numata silvana,Lepidoptera,Nymphalidae,GCA_001486245.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius pardalinus sergestus,Lepidoptera,Nymphalidae,GCA_001486765.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Danaus plexippus,Lepidoptera,Nymphalidae,GCA_000235995.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Heliconius timareta,Lepidoptera,Nymphalidae,GCA_001486705.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius cydno hermogenes,Lepidoptera,Nymphalidae,GCA_001510915.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius timareta ssp. NG-2008,Lepidoptera,Nymphalidae,GCA_001486645.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius ismenius metaphorus,Lepidoptera,Nymphalidae,GCA_001485725.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius numata arcuella,Lepidoptera,Nymphalidae,GCA_001486725.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius pardalinus ssp. JD-2011,Lepidoptera,Nymphalidae,GCA_001486605.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius ethilla,Lepidoptera,Nymphalidae,GCA_001485905.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius hecale felix,Lepidoptera,Nymphalidae,GCA_001486125.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius melpomene melpomene,Lepidoptera,Nymphalidae,GCA_000326025.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius elevatus,Lepidoptera,Nymphalidae,GCA_001486085.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius timareta ssp. JD-2011,Lepidoptera,Nymphalidae,GCA_001486685.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Melitaea cinxia,Lepidoptera,Nymphalidae,GCA_000716385.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Lerema accius,Lepidoptera,Hesperiidae,GCA_001278395.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Plutella xylostella,Lepidoptera,Plutellidae,GCA_000325945.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Operophtera brumata,Lepidoptera,Geometridae,GCA_001266575.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
Yes,Chilo suppressalis,Lepidoptera,Crambidae,GCA_000636095.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Dendroctonus ponderosae,Coleoptera,Curculionidae,GCA_000346045.2,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Hypothenemus hampei,Coleoptera,Curculionidae,GCA_001012855.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Oryctes borbonicus,Coleoptera,Scarabaeidae,GCA_001443705.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Onthophagus taurus,Coleoptera,Scarabaeidae,GCA_000648695.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Tribolium castaneum,Coleoptera,Tenebrionidae,GCA_000002335.3,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
Yes,Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,GCA_000500325.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Anoplophora glabripennis,Coleoptera,Cerambycidae,GCA_000390285.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Agrilus planipennis,Coleoptera,Buprestidae,GCA_000699045.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Priacma serrata,Coleoptera,Cupedidae,GCA_000281835.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Nicrophorus vespilloides,Coleoptera,Silphidae,GCA_001412225.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Aethina tumida,Coleoptera,Nitidulidae,GCA_001937115.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Timema cristinae,Phasmatodea,Timematidae,GCA_002009905.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Locusta migratoria,Orthoptera,Acrididae,GCA_000516895.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Ladona fulva,Odonata,Libellulidae,GCA_000376725.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
